order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure reason
2NEBnZETy1FdFpKJfK4iSLwo,wEwuo1GDdnbC8ju5,STEPHEN THOMAS,14315,"ESR Boost Kickstand Case for Samsung Galaxy S23 Ultra Case, 3 Stand Modes, Military-Grade Drop Protection, Supports Wirele...","tv, audio & cameras",UPI,3,25.19,2022-05-19,United States,Blackhawk,www.wayfair.com,XXFqXfizoOtsQ0S1,Y,
cs4mesS4QiKWwWzUMkH7qPPF,JOFjKzEEv8vZfe0S,BRENDA WILLIAMS,249150,"rts High-Speed HDMI Cable – 20 Meter (Latest Version Standard) Supports Ethernet,1080p full HD, 3D, 4K 60Hz video, Audio R...","tv, audio & cameras",UPI,4,59.99,2023-06-15,United States,Lake Barcroft,www.walmart.com,3uUjFXw7A9OE8tKW,Y,
nvcusihP3X9ZgNrIHUBZuAhR,0UOpKAwfMMT3WTQV,BENJAMIN CARTER,428081,MTR MT901 Wireless Bluetooth Portable|Lightweight Mini Speaker|USB|FM|AUX|Memory Card Support for Indoor & Outdoor (Gray),"tv, audio & cameras",UPI,6,17.99,2023-09-11,Iraq,Dahūk,www.costco.com,S4aAAuYTEIDuCy28,Y,
VpQy1yTPn0AGQam6JVOpZgBE,kPW9RpLqRFVSEt5s,DEBORAH RUIZ,427597,ZEPAD A006 125 Watt Wireless Bluetooth Portable Speaker for Home Party (A006 Black),"tv, audio & cameras",Card,6,35.99,2023-07-12,United States,CORRUPTED,www.alibaba.com,FihrizQ3IyHiozyu,Y,
5p5wm49pAGCFzao0FKOcbyfK,93VkwydO4IGW5fGH,MATTHEW MORRIS,154729,Gadgetsden Belly Button Navel Piercing Ring Silver Color Heraldic Design Flower Opal Cubic Zirconia's Body Jewelry Barbells,accessories,Internet Banking,1,13.19,2022-09-25,South Georgia And South Sandwich Islands,Grytviken,www.amazon.com,Ye1aNYUZvVBTqLjR,Y,
XxwesrYdt0P2kyV0qGk6NYXQ,Ycpefw74l4S1Pkua,WILLIAM YOUNG,383478,SG Musical - 1 Set of 4 Pcs Guitar String Guitar Accessories Bass Guitar Parts 4 Steel String Guitar Accessoriess - RR06,music,Internet Banking,9,8.39,2024-06-15,Mali,Yélimané,www.apple.com,HWhdEikEpUHFSP63,Y,
IKsP5pduQp4BrEvh7R4kc98s,AEX1VzOO9xwQBpyd,AARON CAMPBELL,98457,crocs Classic Platform Glitter Flip,men's shoes,Wallet,7,35.94,2022-02-14,Ukraine,Odesa,www.wayfair.com,qLkO1rB7gRJd7vkg,Y,
EwqzAZb4TJVEwGrLPL8X4tAQ,KKIEbF8f5L2c40oX,MARGARET WRIGHT,226126,"Flexnest Flexdubs True Wireless in Ear Earbuds with 40dB ANC Active Noise Cancellation, 35 Hour Playback, 4-Mic Design, A...","tv, audio & cameras",Card,5,119.99,2023-06-08,Argentina,Vera,www.amazon.com,l3ZxQygynQCmojpm,Y,
IpIAhYCoJ18Y7UXWoQBv9xPx,kjAfoH2FHtcUYrQg,EMILY RUIZ,66743,Neewer 200mm Professional Rail Nodal Slide Metal Quick Release Clamp for Camera with Arca Swiss Compatible,"tv, audio & cameras",UPI,5,114.0,2024-03-09,China,Guilin,www.apple.com,EKazhEV03dRfh0Bt,Y,
epwT0CXqsvBorzxnrPVdYfXA,lT12Od32Yv0eOXNH,GARY LONG,442211,"Puma Unisex-Adult Fabian Puma Black-Nrgy Yellow Running Shoes (8 UK, 19101503)",men's shoes,UPI,4,59.99,2024-05-08,United States,Warrenton,www.apple.com,BHDQBVI4Trg53QXI,Y,
